SGK-1 DAF-16
KNL-2 PLK-1
F08G2.5 LEC-11
F42G2.3 F29G6.3
NPP-19 NPP-19
GAD-1 T08G5.5
VAB-3 BRP-1
SCRM-8 R02F2.5
KIN-20 ATL-1
RNH-1.3 PAL-1
GST-20 GSK-3
TAG-331 CIN-4
ASPM-1 B0353.1
F27C1.6 C03C10.4
KIN-2 RET-1
MIG-15 CSN-5
PRP-21 IMA-2
PLK-1 KCA-1
MIG-5 F54D10.7
T27F7.3 EIF-3.C
ZYG-8 GPD-1
IFA-4 EGL-45
HUS-1 HDA-3
LET-413 TAG-303
IMB-2 SAS-5
DRH-1 EBI-895797
TRAP-4 SGT-1
GRP-1 F30F8.3
TNC-2 ACT-4
ZYG-8 ATHP-1
Y43F4B.5 H02I12.5
NPP-11 PLK-1
IFG-1 LMN-1
GEI-16 ALP-1
IMA-3 LMN-1
DRH-1 ERI-1
Y51A2D.13 F58F9.4
SIR-2.1 FTT-2
PQN-5 LBP-1
LEV-11 CYE-1
MPK-1 MIG-5
T04H1.2 TRA-4
K09B11.9 EBI-324800
NPP-19 H02I12.1
RAD-54 LST-1
C47D12.2 Y43C5B.2
RPN-1 EBI-314130
IMA-3 C16C8.12
ZYG-8 GEI-16
T04H1.2 EBI-316369
EBI-322193 ZYX-1
GIP-1 PQN-5
LEC-1 C34F6.9
GEI-16 LIN-5
F27C1.6 F28D1.2
CRM-1 F56B3.2
F08G2.5 CCDC-47
GEI-16 PBS-5
WWP-1 F35G12.1
TAG-325 C34D4.2
EXC-7 MEC-8
R02F11.1 EBI-325572
FEM-1 ELC-1
SCRM-7 R02F2.5
EYA-1 C16B8.3
DAF-3 LAP-1
DYB-1 C50E3.13
SMA-4 B0281.5
SEL-8 LAG-1
MRT-2 F49E12.9
TAG-218 C18E3.9
SCC-1 F13D12.6
RGS-2 F13H8.6
GIP-1 RNF-1
GEI-16 H06I04.1
CDC-26 SPK-1
CGH-1 HSP-17
K11G9.5 F59E12.11
HSP-17 KEL-8
ZK1098.5 ECH-6
K09B11.9 F59E12.9
PQN-5 F44D12.4
UNC-101 TUFM-2
AKT-2 T28C6.7
SPR-2 PQN-53
LRX-1 RSP-4
PMK-1 F10E7.8
LIN-15A ALP-1
GST-39 BRA-1
PQN-5 K10H10.2
F42H10.7 K09B11.9
GEI-4 B0041.2
NUO-3 W08G11.3
ALP-1 EBI-316369
C05C8.6 RAD-26
LIN-2 C06G3.6
PDL-1 F40F9.6
EGL-45 EIF-3.B
CCDC-47 SGT-1
LIT-1 GEI-16
ALP-1 DAF-21
K09B11.9 C09G1.4
GEI-4 W04A8.6
GEI-4 CDC-42
ATP-2 AQP-2
CHC-1 NPP-7
F33H2.6 NHR-6
PBS-6 ZK1098.4
F38B7.3 COGC-4
GIP-1 CRM-1
MRT-2 CRT-1
ZC317.7 MEX-6
UNC-97 F54B11.7
MIG-15 ZK484.1
PHA-4 LETM-1
Y57A10A.16 ZK1098.5
VAB-3 GEI-18
T04H1.2 SPK-1
KLP-13 TRS-1
EBI-311877 BIR-1
SECS-1 C27A12.2
MRT-2 FIGL-1
MES-4 Y39B6A.1
T01G9.2 F20C5.6
T07D4.2 DYC-1
MES-4 Y7A5A.1
T04H1.2 T23B12.2
MIG-5 F01D5.1
GST-43 KEL-8
ATN-1 F21D5.1
MEL-11 ATN-1
LEV-11 C13F10.2
F59E12.11 Y39G10AR.10
LIT-1 BRP-1
RABN-5 F07C6.4
ELC-1 ZIF-1
APB-1 Y39B6A.37
MIG-5 T26C12.3
RIC-8 ASP-1
AAP-1 PAL-1
EBI-1179655 NDC-80
EBI-320641 T28C6.7
MAT-3 C06E1.9
R02F2.5 MEL-26
RPY-1 LST-1
EXC-7 IMB-2
CGH-1 SRD-30
ZK849.2 F30F8.3
LIN-31 Y82E9BR.13
SKR-2 C27F2.7
VAB-3 Y40C5A.1
GAD-1 ZFP-3
GEI-16 Y119C1A.1
PLK-1 Y51F10.2
EBI-317143 EBI-317143
LMN-1 TBB-1
UGTP-1 F25B5.3
HCP-4 BUB-1
T08G5.5 B0035.12
KLC-2 PQN-52
MAT-3 RPA-0
CDC-48.2 K06H7.3
APP-1 NAS-22
ALP-1 GEI-8
GEI-16 MUA-6
FIGL-1 FIGL-1
LAG-1 COL-81
ABL-1 Y53H1A.1
T13H5.4 NDC-80
MDT-22 KIN-1
F42A10.3 LST-1
F08G2.5 C54E10.2
RIC-8 C31C9.2
LEC-1 YOP-1
F59E12.11 SPD-5
NPP-2 SAS-5
RPN-10 T23B5.1
LET-413 PSA-1
F42G9.6 RAD-51
F47G4.4 F07F6.8
UBC-1 ZK742.3
GST-30 W07G4.3
IFG-1 PQN-59
MIG-15 T28D9.1
DYB-1 F59C6.5
K09B11.9 T09F5.10
ZK632.12 C13F10.7
PFD-2 PAL-1
RET-1 WDFY-2
MPK-1 ZFP-3
CHC-1 T13H5.4
TTM-1 PAT-3
DRH-1 Y69H2.3
M01E5.6 PGL-3
IFF-1 F48E3.3
CKS-1 NHR-2
MAT-3 VPS-33.2
LIN-36 T05B11.1
STL-1 VIT-6
ZK849.2 C05D12.5
TAG-303 TAG-303
C55C3.1 EGL-21
RAN-1 COL-144
NHR-111 TAG-299
NHR-67 DAF-21
CCT-4 NPP-7
AAP-1 Y46E12BR.1
SDZ-38 TAG-303
UNC-6 F45H10.3
KLP-7 DNJ-10
PHA-4 ASP-6
XBX-6 F15D4.2
LEC-1 SMA-1
LIN-36 SODH-1
PHA-4 Y44E3A.6
DAF-4 F45D3.4
C28H8.9 MIG-5
LIN-2 K04H4.2
WDFY-2 ZK822.4
UNC-37 LEV-11
T04H1.2 C06E7.4
UNC-112 PAT-4
SAS-6 SAS-4
CRM-1 LON-1
C12D8.1 DLG-1
GLH-3 GLH-3
RPB-11 PPFR-3
R02F11.1 ASP-6
F21D5.1 Y57G11C.22
MRE-11 DYLT-1
C34D10.1 CDR-6
RPB-7 C02F5.12
HPL-2 KCA-1
WEE-1.3 COL-71
MRT-2 Y45G12B.2
LEV-11 LRS-1
C35A5.8 F45F2.6
H06H21.3 R151.2
ZK856.11 FTN-1
EBP-2 F23H11.9
HMG-4 PAL-1
PBS-6 WVE-1
PQN-95 Y39B6A.1
ATN-1 T27A1.3
T04H1.2 ZK1053.3
MIG-5 EBI-327128
LIN-37 TAC-1
DRH-1 ACDH-1
PHAT-1 EIF-3.B
ZK1307.8 GLY-8
EYA-1 F53E4.1
PBS-6 C06A8.1
DLC-1 COL-154
FEM-2 EBI-367214
SKR-7 F55C9.11
TAF-9 T07C4.1
DRH-1 RPN-9
PCN-1 COL-146
SPR-5 F52C6.2
LEC-3 HSP-43
TZA-1 Y42H9AR.1
PBS-7 T10F2.4
K04G2.10 LIN-37
TRA-1 TRA-2
PQN-60 SGT-1
F43G9.5 F43G9.5
TTM-1 BLI-4
LIT-1 R02D5.1
C18B2.4 R02F2.5
ABU-11 K08F4.2
F08G2.5 R05G6.7
DLC-1 Y38E10A.6
C50E3.13 C50E3.13
SMA-3 R05F9.1
SEK-1 HKE-4.2
TAG-208 SNN-1
SEL-8 LIN-12
BUB-3 NPP-10
IKB-1 C36C9.1
F27C1.6 MATH-14
F49E10.4 NPP-20
MIG-5 RNF-1
C14A4.11 F09F7.5
CGH-1 C27F2.8
KLC-1 UNC-116
GEI-4 FLAP-1
LST-1 C01F6.1
GEI-16 T27A3.1
XPO-1 NPP-9
GEI-4 C18B2.5
NHR-111 HSP-1
MUS-101 CEY-4
T08G5.5 T22F3.3
E01A2.1 F25H9.6
KLP-11 IFB-2
PQN-5 FAT-6
LIT-1 Y57G7A.5
ATN-1 MEL-11
C28H8.9 CPR-5
T06E6.10 RPA-0
SECS-1 F53G12.4
ZK484.4 F28D1.2
DLC-1 RPA-0
MRT-2 NHR-111
MRT-2 C06G3.6
R06C7.5 R06C7.5
GST-23 LON-3
GEI-4 SRH-155
F52C6.3 F52C6.3
Y51H4A.25 ACO-1
VALV-1 DYCI-1
C53D6.6 T07C4.1
TTR-54 GRD-12
PAS-1 SYN-16
ABU-1 PPN-1
VAB-3 Y44E3A.6
ICP-1 CUT-3
KIN-20 B0495.5
GST-5 FBXB-77
GLD-1 K02E2.7
ALP-1 C09G1.4
RPS-15 Y69H2.3
ACT-5 ACT-2
VAB-3 F57G12.2
F26B1.2 VHA-8
NPP-10 NPP-7
T22C8.3 CES-2
PDR-1 TBB-2
GEI-4 C02F12.8
RPY-1 F54C9.11
Y54E10A.5 NCL-1
NSF-1 BEN-1
UNC-101 F29G6.3
TAG-331 R11F4.1
VPS-4 EFT-1
LEC-3 F09F7.5
UBC-13 UBC-1
Y51H4A.8 SAX-2
FBL-1 ZK1127.5
NHR-67 H19N07.1
DRH-1 C50B6.3
LET-60 W05B10.4
DRH-1 NST-1
LAG-1 CSN-5
LRX-1 UNC-87
PQN-54 UBC-18
PAB-1 C27D6.4
K09B11.9 GLY-4
APC-11 APC-2
VAB-3 LIN-66
R06B9.3 NPP-5
IKB-1 T04F8.7
MEL-26 F19B10.1
DLI-1 SAN-1
MPK-1 C49A9.6
Y17G7B.11 C33G8.4
MIG-5 TAC-1
VAB-3 RAD-26
TBG-1 PRP-8
R05H5.3 Y11D7A.1
C45G9.7 T20F5.4
PQN-5 CSN-6
GEI-16 F33G12.5
DRH-1 PYC-1
MIG-5 F36G3.1
Y54E10A.6 F52E1.2
CES-1 ZK849.2
F28A12.1 PSA-1
EBI-1514941 MCM-6
DRH-1 HSP-4
GOSR-2.1 C15H9.4
R07G3.8 C11E4.6
NPP-1 ATN-1
CES-1 F30H5.3
MRT-2 TAG-319
TOP-2 C30B5.4
DRH-1 H05C05.1
RPN-10 CSR-1
F31C3.2 Y46G5A.15
F31E3.2 T21B6.3
F07C4.11 C06A6.5
ATN-1 F43G9.1
MES-6 F25H8.2
LEV-11 NPP-4
RPL-24.1 TTX-1
GST-5 F22H10.4
R166.2 T08G5.5
K09B11.9 F08F8.10
F47G4.4 NHR-2
ZYG-8 F55D12.2
F22F7.6 F35G2.2
C12D8.1 D1046.1
GLD-1 T08G2.3
ZK849.2 F59C6.5
PHA-4 D1046.1
ZK131.11 H02I12.5
ICP-1 NHR-6
MIG-15 DNJ-10
MRT-2 T22B3.3
EYA-1 GLD-3
SYP-3 C47D2.1
T04H1.2 ZK1240.9
DDL-2 TAG-208
BATH-42 BATH-42
T04H1.2 K01A2.10
NHR-34 SRH-166
PAS-2 F54C8.4
RFC-3 MES-6
EXC-7 ASD-2
RAN-1 C16A11.5
ZK849.2 FBL-1
HIM-6 TOP-2
T04H1.2 T04H1.2
THOC-2 RPL-20
ATN-1 NPP-7
T09B4.2 T09B4.2
R05G6.10 UNC-57
AEX-6 RBF-1
C01B10.8 F59A1.11
PRP-21 T09A5.11
CUL-2 VHL-1
LIN-36 ATN-1
C56G2.7 UBH-4
Y71G12B.27 CTN-1
PPH-4.1 IFB-1
RPY-1 RPS-18
C47D12.2 GDI-1
BIR-1 F23C8.5
R04B5.5 R04B5.5
SNX-1 ZIP-1
RSA-1 SPD-5
F08G12.2 COL-93
GSK-3 T12G3.1
PRS-1 HUM-1
Y57A10C.6 B0238.12
PQN-54 VIT-6
Y97E10AR.7 Y66D12A.5
GEI-4 W07G4.5
MEI-1 RPL-4
MRT-2 ZK688.3
PTP-3 Y37D8A.8
PDR-1 TTM-1
CKS-1 LIN-45
RPY-1 ATP-5
C47D12.2 DUT-1
C33C12.3 F12F6.2
EBI-326062 RPL-9
F01D5.1 Y39B6A.1
C36C9.1 DSH-2
MTX-2 HSP-17
CAP-1 CAP-2
LEC-1 F52C6.2
RPS-10 Y50E8A.1
ALP-1 FLP-19
DDL-1 HSB-1
Y51H4A.8 PAL-1
MDT-15 NHR-64
NHR-91 EBI-315765
PQN-5 ILE-1
T23C6.5 NHR-2
K09B11.9 TFG-1
LET-413 W07G1.5
EBP-2 R155.1
DAF-3 C39D10.7
RPB-8 KEL-8
RPY-1 STRD-1
KLP-3 ZK105.1
T04H1.2 F14F9.4
STN-1 DYS-1
LET-413 ZK1128.7
F23H12.2 PRX-19
ELB-1 Y42H9AR.1
C14A4.11 Y66D12A.9
ATN-1 Y106G6D.7
VAB-3 F53F10.2
PAS-4 NHR-6
T03G11.6 F20D1.1
EBI-2007676 VBH-1
PDR-1 EBI-324570
Y32H12A.4 F56C9.11
PAL-1 T04A8.11
MIG-5 M151.7
EYA-1 SEL-8
DNC-1 C13F10.2
T24D1.3 ATG-7
BUB-3 F10G7.9
F22F7.1 C53A3.2
LEC-1 EBI-313521
GLY-5 DPM-1
DAF-4 C04G6.10
T04H1.2 MIG-15
ZYG-8 ZK484.1
CGH-1 ORAI-1
GEI-4 ALY-3
DRH-1 LIN-41
TAF-9 TAF-12
ZEN-4 K11D12.9
AAK-2 NHR-2
NHR-14 HER-1
SEK-1 SNT-4
ATN-1 VHA-9
ATN-1 B0250.2
VAB-3 C39D10.7
RAD-51 Y116A8C.1
CPSF-4 EBI-1514941
PQN-54 T09E8.1
Y39B6A.34 FAR-7
TRP-2 Y77E11A.7
ATN-1 R09E12.5
Y51H4A.8 DPF-7
F26B1.2 C25A1.4
C55C3.1 FAR-2
F26B1.2 NPL-4.1
ALP-1 F14F9.4
RPN-1 HSP-1
F36G3.2 EBI-321286
Y51H4A.8 NHR-2
VAV-1 PHP-3
DRH-1 EBI-895838
ALP-1 ZTF-9
DYN-1 GEI-18
RPN-12 NHR-6
GEI-4 C14H10.2
MPK-1 NHR-69
T24D1.3 NPP-10
MIG-5 H06I04.1
Y53F4B.22 Y105C5B.14
LAG-1 SMA-9
IMB-2 SPK-1
LIT-1 Y15E3A.5
EBI-680058 F38E11.5
SOC-2 LET-60
EBP-2 F57G12.2
F22E5.17 C27F2.7
MPK-1 GLA-3
F42H10.7 ZFP-3
B0281.5 CUL-3
C01B10.8 C04E12.6
SYN-3 ATN-1
C05C8.6 EBI-314297
C06E4.2 CRT-1
PQN-5 W03G1.5
GPR-1 LIN-5
ZC239.15 CUL-3
GSK-3 T24H7.3
PHAT-1 IMA-3
LRX-1 COL-122
DLC-1 T23F11.4
CHW-1 TAG-347
GIP-1 RPL-1
F43G9.1 SMO-1
MIG-5 EBI-316369
RPN-10 RPT-3
TAF-9 F15C11.2
MIG-5 RPL-7
RPL-28 F11A5.13
MRT-2 Y43F4B.5
ZYG-1 PAB-1
GEI-16 TAG-303
NPP-19 LEV-11
APC-2 RPL-3
EIF-3.D MEI-1
STN-1 SNF-6
VAB-3 ASD-2
F45G2.4 Y71F9AL.17
Y18D10A.9 F45G2.10
C12D8.1 F59E12.9
PPH-4.1 DNC-2
F25H5.3 ZK593.1
DRH-1 Y46G5A.4
RAD-54 TAG-52
NTL-3 TAC-1
SRGP-1 NHR-31
M04F3.5 ABI-1
APP-1 TAG-318
Y69A2AR.18 T27A3.1
LIT-1 Y11D7A.1
NHR-111 F32D8.3
LIN-15A F33G12.5
LIN-2 UNC-87
MIG-5 CPL-1
LET-60 RGL-1
Y17G7B.14 SCRM-1
MEL-26 MDT-15
F35G12.12 RPT-1
T01B7.8 CRN-1
SCC-1 CPL-1
F31E3.2 UNC-23
TNC-2 R01H10.5
RPL-35 LEV-11
TAC-1 NPP-7
DRH-1 HSP-70
F42A10.3 Y48B6A.12
MIG-5 T09A5.12
EBI-1004494 GPA-16
SPK-1 T19A5.1
RSA-2 Y59A8B.10
IMB-2 HMG-3
GEI-4 Y17D7B.4
EFT-1 RPL-19
Y105E8B.5 Y105E8B.5
CYB-1 ECH-6
F08G2.5 T01B7.8
ZK849.2 F54B11.7
F41G4.1 T18D3.7
ATN-1 EBI-328989
T04H1.2 C13F10.7
RAN-1 VIT-5
GEI-16 C33G3.6
PQN-5 RPL-1
NEKL-2 COL-20
GEI-4 F48E3.2
SCRM-1 PQN-95
K09B11.9 SPDL-1
NHR-111 ABCF-1
UBXN-1 NHR-111
RPB-8 CDD-2
COGC-4 TAC-1
Y57A10C.6 Y48C3A.16
EYA-1 LYS-6
KLP-3 HSB-1
RPL-36 RPL-5
LIT-1 F23B12.5
CES-1 RNF-1
K09B11.9 R03A10.1
D2045.8 CUL-3
GEI-4 AFD-1
CRM-1 RPS-7
MPK-1 F26E4.6
C12D8.1 RAD-26
ZYG-8 F59C6.5
EYA-1 D1046.1
TAG-61 PDL-1
EBI-2316072 TAG-208
F46H5.3 KEL-8
DRH-1 C40A11.4
ABCE-1 NHR-91
SLI-1 LEC-1
KLP-12 COL-10
SPK-1 F59A2.4
NPP-7 NPP-16
CYP-31A2 LET-70
CPS-6 WAH-1
MPK-1 W10D9.3
Y51A2D.13 F56D12.6
MDF-2 KEL-8
CYB-1 SPK-1
TAG-208 M57.1
MIG-5 F53F10.1
TAG-325 SRC-2
ATN-1 Y110A2AL.9
NHR-19 EBI-311877
MES-3 DLC-2
EHS-1 TAG-208
ABU-11 PQN-71
RAN-1 RAB-1
MRT-2 R11E3.1
BUB-3 E02D9.1
MRT-2 CUL-5
GEI-4 F59A2.3
DRH-1 C26E6.7
ALP-1 W07B8.3
ATN-1 BBS-8
TAG-197 R107.5
PAS-4 ZEN-4
GLD-1 C18E9.9
CES-1 UNC-37
RUVB-1 RUVB-2
MCM-6 LMN-1
GEI-16 ZK849.2
ATN-1 C23G10.11
NPP-21 DNC-2
C01B10.8 EBI-313595
LIN-2 RNP-8
ZYG-8 HKE-4.2
TUB-1 RPL-7A
C33C12.8 Y116A8C.22
APC-11 COL-166
GCL-1 F22H10.3
Y17G7B.14 Y69H2.3
CEH-40 UNC-62
C23H3.3 SCRM-1
C47D12.2 M106.4
JKK-1 UNC-16
R06B9.3 C18B2.5
GCL-1 RAD-26
KIN-2 SODH-1
RPS-10 Y57G11C.3
RPY-1 K09B11.9
TAG-331 SRJ-14
NHR-111 ZK652.6
ZYG-1 Y59A8A.3
COGC-4 MUT-16
GST-23 PQN-5
PAB-1 K10C8.3
F53F4.10 PAL-1
F22F7.1 RPL-10
PQN-54 LYS-1
CCF-1 DRR-2
C28H8.11 KEL-8
DRH-1 DRH-3
DYB-1 NFT-1
NHR-34 ZC443.4
GAD-1 TAG-347
ZYG-8 K04H4.2
EYA-1 C09G1.4
TAG-325 R09B3.2
MDF-2 F23H12.5
NPP-19 C15H9.4
DRH-1 DUR-1
EFT-1 F38E11.5
EYA-1 T04H1.5
RDE-2 RDE-2
Y37D8A.10 T07C4.1
KLE-2 RAN-4
UBC-1 ASP-6
ABU-11 FAR-2
LEV-11 ARS-2
F21D5.1 ACT-4
C26B2.1 DLC-1
SMC-4 MIX-1
DEL-4 RPA-0
ALP-1 EBI-327680
CKU-80 DAF-21
KLE-2 IMB-3
T08G5.5 C27F2.7
MRT-2 PNK-1
PQN-54 SGT-1
F08G12.2 PAL-1
SKR-10 C31H1.5
TAG-331 T01A4.2
PAH-1 RPS-10
F08F8.9 GEI-4
GEI-4 F38E9.5
LEC-1 EBI-329747
CGH-1 B0511.5
BIR-1 H06H21.3
HGO-1 HGO-1
VAB-3 PQN-59
PQN-5 F29G6.3
T20G5.10 Y38C1AA.6
C55C3.1 T07C4.1
Y38H6C.8 SGT-1
MRT-2 CHW-1
PGL-1 CLEC-55
ALP-1 GLD-3
VIT-2 PQN-71
K09B11.9 F23B12.5
LET-19 MDT-6
GEI-16 MEX-6
MDF-2 WDR-23
ZK1098.4 NPP-19
NPP-1 ATN-1
RPS-10 ZK1307.2
GEI-4 R07B7.8
PBS-6 VHA-16
F10B5.2 F41H10.4
PMK-1 KEL-8
F08B6.3 T08G5.5
K09B11.9 C06E7.4
EBI-312653 EBI-312653
F08G2.5 Y57G11C.9
GLH-1 ZYX-1
MIG-5 DSH-2
SPR-2 DAC-1
C02F5.7 XPC-1
MRT-2 GRD-12
NHR-91 SYD-9
KNL-1 HIM-10
K09B11.9 W06A7.2
DLC-1 Y38E10A.6
C47D12.2 COL-120
MIG-5 PQN-52
BIR-1 ZK1098.4
SPDL-1 C13F10.2
OSM-3 C06G8.1
RET-1 RME-1
SPR-5 WVE-1
Y38H6C.14 C17E4.2
KLP-7 ALP-1
DRH-1 LLC1.3
GEI-4 TAG-260
MIG-15 RACK-1
ZK849.2 F53B3.3
HRS-1 K09B11.9
KNL-1 NDC-80
RAN-2 K06H7.1
ZK849.2 C39D10.7
F13H10.1 T28D6.4
TAC-1 IFG-1
F26B1.2 XRN-2
DRH-1 DRH-1
DRH-1 GRL-15
SMA-4 COL-143
CCO-1 C13F10.2
NHR-111 COL-93
GST-5 F36D4.1
GEI-4 RSP-6
SCRM-7 C39D10.7
RPY-1 E04F6.6
EYA-1 H28G03.2
TTX-1 TAG-208
K09B11.9 TBA-4
F31C3.2 PAL-1
ZK849.2 GBH-2
C30B5.4 R07E5.3
MAOC-1 MAOC-1
MEK-1 EBI-324450
VPS-4 GSY-1
T04H1.2 TAG-303
NHR-111 VBH-1
UBC-1 RFP-1
C47D12.2 T23F11.2
ALP-1 AJM-1
NHR-111 ZTF-4
CMK-1 PAL-1
PMK-1 F29G6.3
CYP-35D1 SGT-1
C37A2.3 ASD-2
SUP-12 ASD-1
EBI-320033 C13A10.2
SPK-1 ARF-1.2
TTM-1 MUA-3
EYA-1 EBI-317878
MIG-5 ZK1098.4
Y63D3A.4 R02F2.5
CCT-6 CDC-26
LIN-36 LAM-2
Y54G11A.7 RPN-7
F48F7.7 PSA-1
DLC-1 NHR-31
PPFR-3 PPH-6
DRH-1 RRF-3
RPN-9 RPN-11
NHR-34 F35C8.5
AIR-2 ASB-2
MOM-2 SGT-1
F31D5.2 UNC-46
EYA-1 LIN-66
PQN-11 SRX-117
C47D12.2 UNC-96
SPDL-1 RNR-1
SKP-1 F28D1.2
ALP-1 ALP-1
LIN-45 RPL-16
LET-413 T06G6.3
NPP-4 IMB-3
TAG-331 R13.4
C27D9.1 SKR-2
RAD-23 C01G5.6
DLC-1 PAL-1
K07A12.2 LMN-1
K12H6.7 Y37E3.11
PKC-3 PAR-6
DDR-2 CCT-5
SNX-1 C36H8.1
AKT-1 EBI-434984
EYA-1 TAG-173
CES-2 EBI-332515
PAS-7 LIN-46
UBC-1 ABU-11
W09D10.3 T07C4.1
W02D9.3 Y46G5A.4
UNC-101 F23F12.9
DNC-2 DNC-2
SHC-1 C39D10.7
LIN-15A IFB-2
Y63D3A.4 LIN-42
RFP-1 F10B5.2
ELC-1 CUL2
SECS-1 SECS-1
TAG-331 GLB-17
SDZ-38 NHR-111
T20H4.5 H02I12.5
Y17G7B.14 F29G9.2
APC-2 UNC-87
LIT-1 F37A4.6
RAN-2 UBC-9
AAP-1 ATP-2
PQN-5 M02G9.1
ALP-1 F13E6.4
JKK-1 PAL-1
RPL-6 F32D8.12
TRAP-4 NHR-111
T21B6.2 W07G1.5
PCN-1 K03H1.10
C47D12.2 F52E1.13
CRM-1 Y39B6A.1
ZK632.12 GST-24
LIN-10 LIN-10
LIN-7 ADD-1
Y39B6A.34 IMB-3
Y71G12B.27 ASNA-1
SEM-5 SIP-1
F13E6.1 T08G5.5
CDK-9 W02F12.4
C18E9.6 HIM-3
PAS-7 NHR-6
PQN-54 B0272.4
MKK-4 JNK-1
GST-23 WEE-1.3
PQN-54 RPL-5
GEI-4 LET-92
BATH-41 IKB-1
LIN-53 LIN-40
NHR-111 F53F1.5
LAG-1 ASAH-1
DRH-1 B0001.2
GEI-4 C16B8.3
SMA-3 KEL-8
CAH-2 LNTL-1
KLC-2 C17E4.2
GEI-16 IFA-1
MIG-5 F56D1.2
DAF-4 PQN-95
STN-1 DYB-1
C02F5.7 RAD-23
R02F11.1 EBI-325526
DRH-1 HSP-3
NPP-1 CSN-5
SDZ-38 C56C10.7
SDZ-38 SCRM-2
AIR-2 C14F11.6
DLC-1 UGT-29
DAF-4 T21B6.3
GST-5 LET-60
PQN-71 RPS-3
NHR-51 DAF-21
GEI-16 SYD-2
SYP-3 SFXN-1.1
MRT-2 NHR-213
LIN-36 T05E7.5
GOSR-2.1 UNC-64
F42H10.6 KEL-8
SMA-4 SQT-3
T04H1.2 GRL-7
RPN-2 CYK-4
PAS-1 T05E7.5
ABCE-1 RPL-4
EYA-1 MEG-1
RPY-1 MUA-3
GST-39 RNR-1
ELC-1 VHL-1
GST-23 F52C6.3
CUP-5 T28C6.7
EYA-1 MAB-5
FEM-3 TRA-2
PAS-4 KEL-8
EIF-3.K DYF-3
PQN-54 M02G9.1
F08G2.5 NHR-111
STA-1 SPTL-3
SUR-6 T08G5.5
SMA-4 C06E7.4
MTX-2 T27A3.1
GEI-16 DSH-2
TPXL-1 PAA-1
ALP-1 RPL-1
PRG-1 C35E7.1
CEH-40 TAG-303
K09B11.9 RPL-30
EXC-7 BRP-1
TAG-197 Y17G9B.9
SEM-5 T20F5.6
UBXN-1 GST-42
C13B9.3 NHR-41
TIR-1 KGB-1
SUP-12 ETR-1
R05H5.3 SGT-1
C23H3.3 F29G9.2
ALP-1 CEY-2
Y43F4B.5 RACK-1
Y65B4A.7 F30H5.3
Y66H1B.2 REV-1
APC-11 DIM-1
C05D11.10 LST-1
MRT-2 PRX-5
MAT-3 ZK1248.15
WRN-1 F42H10.3
NSY-1 SEC-10
RPS-22 T09B4.8
BCMO-1 BRP-1
C01B10.8 SUT-1
PPN-1 RPS-15
SMA-4 PDI-3
APP-1 CC8.1
UNC-37 XPO-1
LIN-37 CLEC-112
NPP-13 LST-1
W02F12.5 T22B11.5
K09B11.9 F17C11.1
CKS-1 CLEC-62
C23H3.3 ACDH-1
T02C5.1 C03H5.2
SAS-4 CPG-3
Y76A2B.5 R03D7.1
VBH-1 SAS-4
C40A11.2 C18E9.9
EMB-30 LEC-2
WDFY-2 PRAF-3
ABTS-2 K09G1.1
TRP-2 ATN-1
EYA-1 BRP-1
HCP-4 C28C12.2
DNC-2 ATP-2
PFD-2 PFD-5
DLC-1 Y38C1AA.9
T04H1.2 F52H3.4
Y38H6C.14 R06F6.8
COGC-2 Y48E1B.5
DAF-4 COL-19
RNH-1.3 HIS-72
PAS-4 C56C10.7
RPS-10 GLB-4
DRH-1 CPZ-1
WRT-4 F57F4.4
Y63D3A.4 ALP-1
PQN-5 Y69H2.3
D2045.9 Y37D8A.16
GEI-16 ABL-1
T04H1.2 TAG-241
C44B7.1 NSF-1
Y105E8B.5 CPR-5
UBXN-1 ERO-1
COGC-4 EBI-1514941
LIN-36 T22H2.6
PQN-71 Y39B6A.1
GST-5 CST-1
PAS-6 KEL-8
KLP-4 COGC-2
K09B11.9 RPL-7A
XBX-6 T10H9.3
KBP-3 HIM-10
CDK-9 W02F12.4
EBP-2 T20B12.7
ATP-2 KEL-8
PKC-2 B0399.2
NHR-111 SPT-4
GEI-4 KLP-16
EGL-26 CYK-3
Y71G12B.27 IFY-1
ZK856.11 C05C12.4
NPP-4 Y39B6A.1
GLD-1 F46F5.9
ATN-1 RAD-26
MDL-1 MXL-1
F09F7.7 T09A5.12
NHR-91 TAG-260
LIT-1 Y119C1A.1
GEI-4 UNC-54
F39B1.1 R02F2.5
H06H21.3 F07A11.2
TTM-1 MUP-4
NDC-80 Y59A8B.10
RAD-51 RAD-54
C56G2.7 CEH-45
ADR-2 ADBP-1
MIG-5 CYP-33B1
WDFY-2 F17E9.5
PAS-2 BEN-1
CEY-2 RSP-8
PPH-4.1 W10G11.20
BMK-1 IFD-2
EYA-1 B0478.3
GEI-4 Y42H9AR.1
GOA-1 GPR-1
SAS-4 SAS-4
ALP-1 EBI-311967
CPB-1 FBF-1
RSA-2 RSA-1
ADD-1 RPS-6
MIG-5 RPS-3
RPS-10 Y57A10A.23
PHA-4 RPL-16
LET-19 SUR-2
EGL-45 EBI-486319
ABU-11 RPS-4
K09B11.9 PQN-32
NHR-49 F54A5.1
SMA-4 IFTA-1
TBG-1 TBB-2
MOM-4 RPL-7
PQN-71 PQN-13
TAF-9 GSY-1
